state,county,region,metro_status,rural_urban_code,perc_complete_vac,tot_pop,votes_Trump,votes_Biden,perc_Biden,ed_somecol_perc,ed_bachormore_perc,unemployment_rate_2020,median_HHincome_2019
Idaho,Adams County,West,Non-metro,9,39.1,4294,1941,591,22.8538283,34.21626663,21.15923882,9.3,50042
Indiana,Gibson County,Midwest,Non-metro,6,43.4,33659,11817,4023,24.8932616,32.95335007,18.00683975,6.2,61872
Tennessee,Anderson County,South,Metro,2,50.1,76978,23184,11741,33.0081529,30.82649994,23.28757095,6.7,50973
Virginia,Buena Vista city,South,Non-metro,6,36.8,6478,1863,825,29.7190202,24.86053848,15.93499851,5.7,44752
Pennsylvania,Perry County,Northeast,Metro,2,47.7,46272,18293,5950,24.1359727,23.39365387,16.65036392,6.8,65401
Iowa,Mitchell County,Midwest,Non-metro,7,45.3,10586,3677,2053,35.2627963,34.33370209,19.03909683,3.4,61247
South Dakota,Minnehaha County,Midwest,Metro,3,58.1,193134,49249,40482,43.8468037,33.03941727,33.06281281,4.5,63162
Wisconsin,Waupaca County,Midwest,Non-metro,6,49.4,50990,18952,9703,33.3093031,31.11889076,19.9461422,5.5,61773
Texas,Kenedy County,South,Non-metro,9,50.7,404,127,65,33.5051546,5.235601902,1.047120452,5.4,46132
Indiana,LaPorte County,Midwest,Metro,3,51.8,109888,25997,22427,45.4061386,30.86296654,18.01818085,9.5,56427
Tennessee,Johnson County,South,Non-metro,6,34.1,17788,6468,1246,15.9723112,26.64146996,11.5829258,6.5,40219
Texas,Hays County,South,Metro,1,55,230191,47680,59524,54.4309006,29.48974609,37.24678802,6.3,72890
Virginia,Botetourt County,South,Metro,2,46.5,33419,15099,5700,26.9886364,32.12712097,28.32490158,4.5,74178
Pennsylvania,Bedford County,Northeast,Non-metro,6,35.1,47888,23025,4367,15.837383,21.90713692,14.72846222,9.1,54251
South Dakota,Bennett County,Midwest,Non-metro,9,46.9,3365,694,466,39.3913779,31.69051361,15.7392683,5,36345
Tennessee,Polk County,South,Metro,3,38.4,16832,6792,1492,17.84689,31.11165428,11.85709667,6.9,45922
New York,Clinton County,Northeast,Non-metro,5,66,80485,16514,18364,51.8215425,27.10329437,22.85957527,8,59069
Oklahoma,Garfield County,South,Non-metro,5,45,61056,16970,4919,21.9304503,28.8109684,22.9077282,5.5,58381
Kansas,Miami County,Midwest,Metro,1,43.4,34237,12116,5133,29.1250567,34.36563873,29.8061676,5,74428
Kansas,Rice County,Midwest,Non-metro,7,39.9,9537,3187,953,22.5295508,39.52518463,22.79435349,4.2,56350
Texas,Dallam County,South,Non-metro,7,38.9,7287,1389,197,12.2436296,26.55730438,15.78363991,2.8,55793
South Carolina,Dorchester County,South,Metro,2,47.8,162809,41913,33824,43.7692487,34.17678833,28.19892883,5.8,68051
Texas,El Paso County,South,Metro,2,68.7,839238,84331,178126,66.66018,31.44180298,23.31440353,8.3,48629
Pennsylvania,Delaware County,Northeast,Metro,1,66.3,566747,118532,206423,62.741409,23.84692764,39.02729797,9.1,76783
West Virginia,Morgan County,South,Non-metro,8,5.5,17884,6537,1998,22.9787234,28.55521011,16.9757061,6,50660
Illinois,Livingston County,Midwest,Non-metro,4,46.6,35648,12208,4615,26.8720158,30.44350052,14.75190735,6.7,54422
California,Glenn County,West,Non-metro,6,48.2,28393,7063,3995,35.3790294,33.43546295,14.1552,8.9,55682
Minnesota,Faribault County,Midwest,Non-metro,6,52.8,13653,5191,2531,31.981299,36.32769012,18.56433105,6.2,54193
Texas,Foard County,South,Non-metro,9,39.6,1155,445,99,17.9673321,33.61793137,16.22198486,4.2,38615
Texas,Hale County,South,Non-metro,4,38,33406,7177,2279,23.779215399999998,24.73185158,17.13273239,6.8,49187
Minnesota,Anoka County,Midwest,Metro,1,52.1,356921,104902,100893,47.7866927,35.57676315,30.50526428,6.3,83363
Tennessee,Gibson County,South,Non-metro,4,40.4,49133,16259,5771,25.8383703,27.77245712,18.41223335,7,46384
Missouri,Scott County,Midwest,Non-metro,4,40.3,38280,13769,3753,21.1806535,27.04808998,16.29728127,5.3,44924
Maine,Lincoln County,Northeast,Non-metro,8,73.3,34634,10256,12684,53.7594304,25.21180725,33.47517014,5.3,58619
